title,data
Avatar,Action Adventure Fantasy Science-Fiction culture-clash future space-war space-colony society space-travel futuristic romance space alien tribe alien-planet cgi marine soldier battle love-affair anti-war power-relations mind-and-soul 3d 22nd century paraplegic Marine dispatch moon Pandora unique mission tear follow order protect alien civilization
Pirates of the Caribbean: At World's End,Adventure Fantasy Action ocean drug-abuse exotic-island east-india-trading-company love-of-one's-life traitor shipwreck strong-woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Captain Barbossa long believe dead come life head edge Earth Turner Elizabeth Swann
Spectre,Action Adventure Crime spy based-on-novel secret-agent sequel mi6 british-secret-service united-kingdom cryptic message Bond past send trail uncover sinister organization M battle political force secret service alive bond peel layer deceit reveal terrible truth SPECTRE
The Dark Knight Rises,Action Crime Drama Thriller dc-comics crime-fighter terrorist secret-identity burglar hostage-drama time-bomb gotham-city vigilante cover-up superhero villainess tragic-hero terrorism destruction catwoman cat-burglar imax flood criminal-underworld batman follow death District Attorney Harvey Dent Batman assume responsibility Dent crime protect late attorney reputation subsequently hunt Gotham City Police Department year later Batman encounter mysterious Selina Kyle villainous Bane new terrorist leader overwhelm Gotham fine Dark Knight resurface protect city brand enemy
John Carter,Action Adventure Science-Fiction based-on-novel mars medallion space-travel princess alien steampunk martian escape edgar-rice-burroughs alien-race superhuman-strength mars-civilization sword-and-planet 19th-century 3d John Carter war weary military captain inexplicably transport mysterious exotic planet Barsoom Mars reluctantly embroil epic conflict world brink collapse Carter rediscover humanity realize survival Barsoom people rest hand
Spider-Man 3,Fantasy Action Adventure dual-identity amnesia sandstorm love-of-one's-life forgiveness spider wretch death-of-a-friend egomania sand narcism hostility marvel-comic sequel superhero revenge seemingly invincible Spider Man new crop villain include shape shift Sandman Spider Man superpower alter alien organism alter ego Peter Parker deal nemesis Eddie Brock gets catch love triangle
Tangled,Animation Family hostage magic horse fairy-tale musical princess animation tower blonde-woman selfishness healing-power based-on-fairy-tale duringcreditsstinger healing-gift animal-sidekick kingdom wanted charming bandit Flynn Rider hide mysterious tower hostage Rapunzel beautiful feisty tower bind teen 70 foot magical golden hair Flynn curious captor look ticket tower lock away year strike deal handsome thief unlikely duo set action pack escapade complete super cop horse protective chameleon gruff gang pub thug
Avengers: Age of Ultron,Action Adventure Science-Fiction marvel-comic sequel superhero based-on-comic-book vision superhero-team duringcreditsstinger marvel-cinematic-universe 3d Tony Stark try jumpstart dormant peacekeeping program thing awry Earth Mightiest Heroes ultimate test fate planet hang balance villainous Ultron emerge Avengers stop enact terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family witch magic broom school-of-witchcraft wizardry apparition teenage-crush werewolf Harry begin sixth year Hogwarts discover old book mark property half blood Prince begin learn Lord Voldemort dark past
Batman v Superman: Dawn of Justice,Action Adventure Fantasy dc-comics vigilante superhero based-on-comic-book revenge super-powers clark-kent bruce-wayne dc-extended-universe fear action god like Super Hero leave unchecked Gotham City formidable forceful vigilante Metropolis revere modern day savior world wrestle sort hero need Batman Superman war new threat quickly arise mankind great danger know
Superman Returns,Adventure Fantasy Action Science-Fiction saving-the-world dc-comics invulnerability sequel superhero based-on-comic-book kryptonite super-powers superhuman-strength lex-luthor Superman return discover 5 year absence allow Lex Luthor walk free close feel abandon Luthor plot ultimate revenge million kill change face planet forever rid Man Steel
Quantum of Solace,Adventure Action Thriller Crime killing undercover secret-agent british-secret-service Quantum Solace continue adventure James Bond Casino Royale betray Vesper woman love 007 fight urge late mission personal pursue determination uncover truth Bond M interrogate Mr. White reveal organization blackmail Vesper far complex dangerous imagine
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action witch fortune-teller bondage exotic-island monster captain card-game east-india-trading-company compass ship daughter pirate swashbuckler aftercreditsstinger Captain Jack Sparrow work way blood debt ghostly Davey Jones attempt avoid eternal damnation
The Lone Ranger,Action Adventure Western texas horse survivor texas-ranger partner outlaw escape lawyer train lone-ranger comanche the-lone-ranger tonto Texas Rangers chase gang outlaws lead Butch Cavendish gang ambush Rangers seemingly kill survivor find American Indian Tonto nurse health Ranger don mask ride white stallion Silver team Tonto bring unscrupulous gang ilk justice
Man of Steel,Action Adventure Fantasy Science-Fiction saving-the-world dc-comics superhero based-on-comic-book superhuman alien-invasion reboot super-powers dc-extended-universe young boy learn extraordinary power earth young man journey discover come send hero emerge save world annihilation symbol hope mankind
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy based-on-novel fictional-place brother-sister-relationship lion human-being wretch leap-in-time matter-of-life-and-death faith uncle narnia fantasy-world year incredible adventure Lion Witch Wardrobe Peter Edmund Lucy Susan Pevensie return Narnia aid young prince life threaten evil King Miraz help colorful cast new character include Trufflehunter badger Nikabrik dwarf Pevensie clan embark incredible quest ensure Narnia return rightful heir
The Avengers,Science-Fiction Action Adventure new-york shield marvel-comic superhero based-on-comic-book alien-invasion superhero-team aftercreditsstinger duringcreditsstinger marvel-cinematic-universe unexpected enemy emerge threaten global safety security Nick Fury director international peacekeeping agency know S.H.I.E.L.D. find need team pull world brink disaster span globe dare recruitment effort begin
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy sea captain mutiny sword prime-minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Captain Jack Sparrow cross path woman past sure love ruthless con artist use find fabled Fountain Youth force aboard Queen Anne Revenge ship formidable pirate Blackbeard Jack find unexpected adventure know fear Blackbeard woman past
Men in Black 3,Action Comedy Science-Fiction time-travel time-machine alien fictional-government-agency seeing-the-future changing-history agent J Smith K Tommy Lee Jones time J inexplicable thing 15 year Men Black alien perplex wry reticent partner K life fate planet stake Agent J travel time thing right J discover secret universe K tell secret reveal team young Agent K Josh Brolin save partner agency future humankind
